Composer,cleaned_name
Karl Friedrich Abel,Karl Friedrich Abel
Lodovico Agostini,Lodovico Agostini
Giovanni J. Albuzio,Giovanni Giacopo  Albuzio
Richard Allison,Richard Allison
Serafino Aquilano,Serafino Aquilano
Thomas Arne,Thomas Arne
Robert Askue,Robert Askue
John Attey,John Attey
Filippo Azzaiolo,Filippo Azzaiolo
Daniel Bacheler,Daniel Bacheler
Valentin Bakfark,Valentin Bakfark
Robert Ballard,Robert Ballard
Giulio Cesare Barbetta,Giulio Cesare Barbetta
Ernst Gottlieb Baron,Ernst Gottlieb Baron
John Bartlet,John Bartlet
William Basse,William Basse
Mr. Beck,Mr. Beck
Jacquet de Berchem,Jacquet de Berchem
Gilles Binchois,Gilles Binchois
John Blow,John Blow
Charles Bocquet,Charles Bocquet
Antoine Bo?sset,Antoine Boësset
Ann Boleyn?,Ann Boleyn
Pietro Paulo Borrono,Pietro Paulo Borrono
Pierre Phal?se,Pierre Phalèse
Johann Georg Braun,Johann Georg Braun
Brewster,Brewster
Baruch Bulman,Baruch Bulman
Antoine Busnois,Antoine Busnois
Dietrich Buxtehude,Dietrich Buxtehude
William Byrd,William Byrd
Francis Cutting,Francis Cutting
Antonio de Cabez?n,Antonio de Cabezón
Giulio Caccini,Giulio Caccini
Antonio Caldara,Antonio Caldara
Franciscus Bossinensis,Franciscus Bossinensis
Marchetto Cara,Marchetto Cara
Firmin Caron,Firmin Caron
Fabritio Caroso,Fabritio Caroso
Marco Caroso,Marco Caroso
Dario Castello,Dario Castello
Francesco Cavalli,Francesco Cavalli
Michael Cavendish,Michael Cavendish
Jehan Chardavoine,Jehan Chardavoine
Johannes Ciconia,Johannes Ciconia
Cipriano de Rore,Cipriano de Rore
S. Coleman,S. Coleman
John Coprario,John Coprario
Arcangelo Corelli,Arcangelo Corelli
William Cornysh,William Cornysh
Guillaume Costeley,Guillaume Costeley
Fran?ois Couperin,François Couperin
Chiara Margarita Cozzolani,Chiara Margarita Cozzolani
Thomas Cr?cquillon,Thomas Crécquillon
Francis Cutting?,Francis Cutting
Giovanni B. dalla Gostena,Giovanni Battista Dalla Gostena
Johann Friedrich Daube,Johann Friedrich Daube
Constantin C. Dedekind,Constantin Christian Dedekind
Luc Despond,Luc Despond
Francisco de la Torre,Francisco de la Torre
Charles de l'Espine,Charles de l'Espine
Giaches de Wert,Giaches de Wert
John Dowland,John Dowland
John Dowland?,John Dowland
Guillaume Dufay,Guillaume Dufay
John Dunstable?,John Dunstable
Narciso Duran,Narciso Duran
Sigismondo d'India,Sigismondo d'India
John Eccles,John Eccles
Pat O'Brian,Pat O'Brian
Paul O'Dette,Paul O'Dette
Christopher Simpson,Christopher Simpson
Alfonso Ferrabosco I,Alfonso Ferrabosco I
Alfonso Ferrabosco II,Alfonso Ferrabosco II
Sebastian Festa,Sebastian Festa
Perino Fiorentino,Perino Fiorentino
Thomas Ford,Thomas Ford
Antoine Forqueray,Antoine Forqueray
Girolamo Frescobaldi,Girolamo Frescobaldi
Johann J. Froberger,Johann Jakob Froberger
Jacques de Gallot,Jacques de Gallot
Santino Garsi,Santino Garsi
Hans Gerle,Hans Gerle
Claude Gervaise,Claude Gervaise
Carlo Gesualdo,Carlo Gesualdo
Hayne von Ghizeghem,Hayne von Ghizeghem
Orlando Gibbons,Orlando Gibbons
Heinrich Gleitsmann,Heinrich Gleitsmann
Christoph W. von Gluck,Christoph Willibald Gluck
Giacomo Gorzanis,Giacomo Gorzanis
Johann Grabbe,Johann Grabbe
Thomas Greaves,Thomas Greaves
Pierre Gu?dron?,Pierre Guédron
Pierre Gu?dron,Pierre Guédron
Johann Gumprecht,Johann Gumprecht
Robert Hales,Robert Hales
Georg Friederich H?ndel,Georg Friederich Händel
Henry Lawes,Henry Lawes
Anthony Holborne,Anthony Holborne
Tobias Hume,Tobias Hume
Gregorius Howet,Gregorius Howet
Jacob Meiland,Jacob Meiland
Jacobus?,Jacobus
Cl?ment Janequin,Clement Janequin
Traditional Jewish,Anonymous
Robert Jones,Robert Jones
Josquin des Prez,Josquin des Prez
Sixt Kargel,Sixt Kargel
David Kellner,David Kellner
Robert Kindersley,Robert Kindersley
Nicholas Lanier,Nicholas Lanier
Orlando di Lasso,Orlando di Lasso
Nicolas A. Leb?gue,Nicolas Lebègue
Giovanni Legrenzi,Giovanni Legrenzi
Claude Le Jeune?,Claude Le Jeune
Claude Le Jeune,Claude Le Jeune
Giovanni A. Leoni,Giovanni Leoni
Carlo A. Lonati,Carlo Ambrogio Lonati
Jan Anton?n Losy,Jan Antonín Losy
Luigi Rossi,Luigi Rossi
Jean-Baptiste Lully,Jean-Baptiste Lully
Michel Lambert,Michel Lambert
Girolamo Conversi,Girolamo Conversi
Joanambrosio Dalza,Joanambrosio Dalza
Gary Digman,Gary Digman
Emanuel Adriaenssen,Emanuel Adriaenssen
Nicolas Gombert,Nicolas Gombert
John Johnson,John Johnson
William Lawes,William Lawes
John Marchant,John Marchant
Francesco da Milano,Francesco da Milano
Simone Molinaro,Simone Molinaro
Claudio Monteverdi,Claudio Monteverdi
Crist?bal de Morales,Cristóbal de Morales
Jacob Obrecht,Jacob Obrecht
Alessandro Piccinini,Alessandro Piccinini
Francis Pilkington,Francis Pilkington
George Botsford,George Botsford
Henry Purcell,Henry Purcell
Thomas Robinson,Thomas Robinson
Francesco Spinacino,Francesco Spinacino
Alessandro Striggio,Alessandro Striggio
Jan P. Sweelinck,Jan Pieterszoon Sweelinck
Giovanni A. Terzi,Giovanni Terzi
Nicolas Vallet,Nicolas Vallet
Vincenzo Galilei,Vincenzo Galilei
Thomas Mace,Thomas Mace
Guillaume de Machaut,Guillaume de Machaut
Pierre de Manchicourt,Pierre de Manchicourt
Marin Marais,Marin Marais
Jacques Mauduit,Jacques Mauduit
Domenico Mazzocchi,Domenico Mazzocchi
David Melvill,David Melvill
Mercure d'Orl?ans,Mercure d'Orléans
Elias Mertel,Elias Mertel
R?n? Mesangeau,René Mesangeau
Gottfried Meusel,Gottfried Meusel
Charles Edinthon,Charles Edinthon
Enriquez de Valderr?bano,Enríquez de Valderrábano
Albert de Rippe,Albert de Rippe
Antonio di Becchi,Antonio di Becchi
Francesco da Milano?,Francesco da Milano
Giovanni M. da Crema,Giovanni Maria da Crema
Julio Segni,Julio Segni
Wolff Heckel,Wolff Heckel
Joanne Matelart,Joanne Matelart
Paulo Galv?o,Paulo Galvão
Sigmar Salzburg,Sigmar Salzburg
Laudon Schuett,Laudon Schuett
Michele P. de Mont?clair,Michel de Montéclair
Guillaume Morlaye,Guillaume Morlaye
Thomas Morley,Thomas Morley
Robert Morton,Robert Morton
?tienne Moulini?,Etienne Moulini
Christian G. Scheidler,Christian G. Scheidler
Diego Ortiz,Diego Ortiz
Francisco Paez,Francisco Paez
Pierre Passereau,Pierre Passereau
Mogens Peders?n,Mogens Pedersøn
Jacopo Peri,Jacopo Peri
Peter Philips,Peter Philips
Marcantonio del Pifaro,Marcantonio del Pifaro
Diego Pisador,Diego Pisador
Bob Telson,Bob Telson
John Lennon and Paul McCartney,John Lennon and Paul McCartney
John Lennon,John Lennon
Scott Joplin,Scott Joplin
Willie Nelson,Willie Nelson
Paul McCartney,Paul McCartney
Harold Arlen,Harold Arlen
Walter Gross and Jack Lawrence,Walter Gross and Jack Lawrence
Lionel Bart,Lionel Bart
Michael Praetorius,Michael Praetorius
Johann J. Quantz,Johann Joachim Quantz
Cidrac Rael,Cidrac Rael
Jean Phillipe Rameau,Jean Phillipe Rameau
Esaias Reusner,Esaias Reusner
Jakub Reys,Jakub Reys
Fran?ois Richard,Francois Richard
Robert Johnson,Robert Johnson
Robert Johnson?,Robert Johnson
Ludov?co Roncalli,Ludovico  Roncalli
Roquelay,Roquelay
Philip Rosseter,Philip Rosseter
Gioacchino Rossini,Gioacchino Rossini
Giovanni Felice Sances,Giovanni Felice Sances
Pierre Sandrin,Pierre Sandrin
Gaspar Sanz,Gaspar Sanz
Alessandro Scarlatti,Alessandro Scarlatti
Arnolt Schlick,Arnolt Schlick
Hans Judenk?nig,Hans Judenkönig
Heinrich Sch?tz,Heinrich Schütz
Ludwig Senfl,Ludwig Senfl
Simon Gintzler,Simon Gintzler
Johann Siess,Johann Siess
Alessandro Stradella,Alessandro Stradella
Barbara Strozzi,Barbara Strozzi
Tylman Susato,Tylman Susato
Georg P. Telemann,Georg Philipp  Telemann
Guillaume Tessier,Guillaume Tessier
Johan Thijs,Johan Thijs
Lorenzino Tracetti,Lorenzino Tracetti
Henry Tudor,Henry Tudor
Joachim van den Hove,Joachim van den Hove
Jacob van Eyck,Jacob van Eyck
Philip van Wilder,Philip van Wilder
Philippe Verdelot,Philippe Verdelot
Ennemond Gaultier,Ennemond Gaultier
Jacques Vide,Jacques Vide
Benedetto Vinaccesi,Benedetto Vinaccesi
Robert de Vis?e,Robert de Visée
Thomas Weelkes,Thomas Weelkes
Sylvius L. Weiss,Silvius Leopold Weiss
Robert White,Robert White
John Whitfield,John Whitfield
John Wilbye,John Wilbye
Adrian Willaert,Adrian Willaert
John Wilson,John Wilson
Henry Thomas Smart,Henry Thomas Smart
Traditional French,Traditional French
Conrad Kocher,Conrad Kocher
William James Kirkpatrick,William James Kirkpatrick
Mel Torm?,Mel Torm
Traditional Welsh,Traditional Welsh
Thoinot Arbeau,Thoinot Arbeau
Traditional English,Traditional English
James Mason Neale,James Mason Neale
Thomas Helmore,Thomas Helmore
Felix Mendelssohn,Felix Mendelssohn
Hugh Martin and Ralph Blane,Hugh Martin and Ralph Blane
Dimitri Bortniansky,Dimitri Bortniansky
Jean-Baptiste Calkin,Jean-Baptiste Calkin
Henry John Gauntlett,Henry John Gauntlett
Franz Gruber,Franz Gruber
John Henry Hopkins,John Henry Hopkins
Giovanni Zamboni,Giovanni Zamboni
Ruggiero Giovannelli,Ruggiero Giovannelli
Paolo Quagliati,Paolo Quagliati
