,Title,Subtitle,Composer,Orig. composer,Source,Document,Volume,Date,Page,Editor,Encoder,Arranger,Intabulator,Contributor,Concordances,Piece,Section,Type,Key,Difficulty,Ensemble,Part,Remarks,Recording,Facsimile,Fronimo,PDF,Midi,Created,Modified,composer,date_of_birth,birth_town,birth_country,date_of_death,death_town,death_country,nationality,lyrics,language,text_length,sadness,fear,anger,neutral,disgust,joy,surprise
90,To plead my faith,,Daniel Bacheler,,Robert Dowland,A Musicall Banquet,,1610,f.d2v,Sarge Gerbode,Sarge Gerbode,,,,,To plead my faith,,lute song,Cm,3.0,"soprano, 6-course",score,,,https://lutemusic.org/facsimiles/DowlandR/A_Musicall_Banquet_1610/d2v.png,https://lutemusic.org/composers/Bacheler/songs/to_plead_my_faith/to_plead_my_faith.ft3,https://lutemusic.org/composers/Bacheler/songs/to_plead_my_faith/pdf/to_plead_my_faith.pdf,https://lutemusic.org/composers/Bacheler/songs/to_plead_my_faith/midi/to_plead_my_faith.mid,1573937407,1586042062,Daniel Bacheler,1572.0,Aston Clinton,England,1619.0,Kent,England,England,"To plead my faith where faith hath no reward; To move remorse, where favour is not borne; To plead my faith where faith hath no reward; To move remorse, where favour is not borne; I loved her whom all the world admir'd. I was refus'd of her that can love none: I loved her whom all the world admir'd. I was refus'd of her that can love none: Forget my name, since you have scorn'd my love, And womanlike do not too late lament; Forget my name, since you have scorn'd my love, And womanlike do not too late lament; I was as fond as ever she was fair, Yet lov'd I not more than I now despair. I was as fond as ever she was fair, Yet lov'd I not more than I now despair. ",en,668,0.9423617124557495,0.03355007618665695,0.008463306352496147,0.006609414238482714,0.00456975819543004,0.003149203723296523,0.0012965044006705284
118,If ever hapless woman,"Words by Mary Sidney Herbert, Countess of Pembroke",John Bartlet,,John Bartlet,A book of ayres,,1606,#2,Sarge Gerbode,Sarge Gerbode,,,,,If ever hapless woman,,"madrigal, lute song",Am,2.0,"bass, tenor, alto, soprano, 6-course","soprano, 6-course",,,,https://lutemusic.org/composers/Bartlet/songs/02_if_ever_hapless_woman/02_if_ever_hapless_woman.ft3,https://lutemusic.org/composers/Bartlet/songs/02_if_ever_hapless_woman/pdf/02_if_ever_hapless_woman.pdf,https://lutemusic.org/composers/Bartlet/songs/02_if_ever_hapless_woman/midi/02_if_ever_hapless_woman.mid,1573937408,1586042062,John Bartlet,1605.0,,England,1610.0,,,England,"If ever hapless woman had a cause To breathe her plaints into the open air, the open air, And never suffer inward grief to pause Or seek her sorrowshaken soul's repair. Then I, for I have lost my only brother,                       Then I, for I have lost my only brother,                       ",en,295,0.9808751344680786,0.008576600812375546,0.0022732915822416544,0.002089971676468849,0.0005582156591117382,0.003607716877013445,0.00201905844733119
121,Who doth behold my Mistress' face,,John Bartlet,,John Bartlet,A book of ayres,,1606,#4,Sarge Gerbode,Sarge Gerbode,,,,,Who doth behold my Mistress' face,,lute song,GM,2.0,"soprano, 6-course",score,,,,https://lutemusic.org/composers/Bartlet/songs/04_who_doth_behold/04_who_doth_behold.ft3,https://lutemusic.org/composers/Bartlet/songs/04_who_doth_behold/pdf/04_who_doth_behold.pdf,https://lutemusic.org/composers/Bartlet/songs/04_who_doth_behold/midi/04_who_doth_behold.mid,1573937408,1586042062,John Bartlet,1605.0,,England,1610.0,,,England,"Who doth behold my mistress' face And seeeth not, good hap hath he. Who hears her speak and marks her  grace, Shall think none ever spake but she. In short for to resound her   praise, She is the fairest, the fairest, the fairest, the fairest of her days. ",en,256,0.03721560537815094,0.02065041847527027,0.14215947687625885,0.14462096989154816,0.3472861051559448,0.3033857047557831,0.004681698512285948
123,Of all the birds,,John Bartlet,,John Bartlet,A book of ayres,,1606,#10,Sarge Gerbode,Sarge Gerbode,,,,,Of all the birds,,lute song,GM,2.0,"soprano, 6-course",score,,,,https://lutemusic.org/composers/Bartlet/songs/10_of_all_the_birds/10_of_all_the_birds.ft3,https://lutemusic.org/composers/Bartlet/songs/10_of_all_the_birds/pdf/10_of_all_the_birds.pdf,https://lutemusic.org/composers/Bartlet/songs/10_of_all_the_birds/midi/10_of_all_the_birds.mid,1573937408,1586042062,John Bartlet,1605.0,,England,1610.0,,,England,"Of all the birds that I do know, Philip my sparrow hath no peer, For sit she high or sit she low, Be she far off or be she near, there is no bird so fair, so fine, Nor yet so fresh as this of mine,                                                                                                             ",en,306,0.25906112790107727,0.2777653634548187,0.055359501391649246,0.08362987637519836,0.03513917326927185,0.1506551206111908,0.13838984072208405
125,Whither runneth my sweetheart?,,John Bartlet,,John Bartlet,A book of ayres,,1606,#17,Sarge Gerbode,Sarge Gerbode,,,,,Whither runneth my sweetheart?,,lute song,GM,2.0,"soprano, 8-course",score,,,,https://lutemusic.org/composers/Bartlet/songs/17_whither_runneth_my_sweetheart/17_whither_runneth_my_sweetheart.ft3,https://lutemusic.org/composers/Bartlet/songs/17_whither_runneth_my_sweetheart/pdf/17_whither_runneth_my_sweetheart.pdf,https://lutemusic.org/composers/Bartlet/songs/17_whither_runneth_my_sweetheart/midi/17_whither_runneth_my_sweetheart.mid,1573937408,1586042062,John Bartlet,1605.0,,England,1610.0,,,England,"Whither runneth my     sweet        heart? Whither runneth my    sweet    heart? Stay, stay, stay, stay, and take me with thee. Merrily, merrily, merrily I'll play my part. Stay, stay, and thou shalt see me, and thou shalt see me, and thou shalt see me, and thou shalt see me. Oh! oh! Have I ketcht,    have I    ketcht       thee? Have I     ketcht,       have  I ketcht    thee?    Hay   dingadingading, Hay   dingadingading, Hay   dingadingading, Hay   dingadingading, This    ketch   ing is a pretty thing, This ketching is a   pretty thing. Oh! oh! Have I ketcht,    have I    ketcht       thee? Have I     ketcht,       have I ketcht    thee?     Hay   dingadingading, Hay   dingadingading, Hay   dingadingading, Hay dingadingading, This    ketch   ing is a pretty thing, This ketching is a   pretty thing. ",en,813,0.13566990196704865,0.03403661772608757,0.03726150095462799,0.14815795421600342,0.005858466494828463,0.43262332677841187,0.20639216899871826
142,No more the dear lovely nymph,Words by Peter Anthony Motteux,John Blow,,John Blow,Source unknown,,1680,2%,Sarge Gerbode,Sarge Gerbode,,,,,No more the dear lovely nymph,,lute song,Em,4.0,"bass viol, archlute, soprano",score,,,,https://lutemusic.org/composers/Blow/no_more_the_dear_lovely_nymph/no_more_the_dear_lovely_nymph_S.ft3,https://lutemusic.org/composers/Blow/no_more_the_dear_lovely_nymph/pdf/no_more_the_dear_lovely_nymph_S.pdf,https://lutemusic.org/composers/Blow/no_more_the_dear_lovely_nymph/midi/no_more_the_dear_lovely_nymph_S.mid,1573937408,1586042063,John Blow,1649.0,Newark-on-Trent,England,1708.0,London,England,England,"No more, no more the dear, no more, no more the lovely, lovely, lovely, lovely nymph's no more, no more; Death never, never, never will the beauteous prize restore; Death never, never, never will the beauteous prize restore. Too feeble grief, too weak, too slow despair, Can you, can you, can you want helps to end the pains I bear? Ah me! ah me! while I my Celia's loss bemoan, A thousand, thousand, thousand Deaths, a thousand, thousand, thousand Deaths I die instead of one; Tho' dead to joy, in pain I languish, I languish, languish still; Grief stabs my heart, grief stabs my heart, yet has no pow'r to kill; Grief stabs my heart, grief stabs my heart, yet has no pow'r to kill. ",en,684,0.9314963221549988,0.034249283373355865,0.00967979896813631,0.010969857685267925,0.007359836716204882,0.00368124688975513,0.0025636116042733192
147,O turn not those fine eyes away,,John Blow,,John Blow,Source unknown,,1680,f.dd2v,Sarge Gerbode,Sarge Gerbode,,,,,O turn not those fine eyes away,,lute song,Am,4.0,"bass viol, archlute, soprano",score,,,,https://lutemusic.org/composers/Blow/o_turn_not_those_fine_eyes_away/o_turn_not_those_fine_eyes_away_S.ft3,https://lutemusic.org/composers/Blow/o_turn_not_those_fine_eyes_away/pdf/o_turn_not_those_fine_eyes_away_S.pdf,https://lutemusic.org/composers/Blow/o_turn_not_those_fine_eyes_away/midi/o_turn_not_those_fine_eyes_away_S.mid,1573937408,1586042063,John Blow,1649.0,Newark-on-Trent,England,1708.0,London,England,England,"O tum not, turn not those fine eyes away; O turn not, turn not those fine eyes away; Nor blush you gave me, nor blush you gave me that kind look: More than a thousand, a thousand, thousand times me have you took, As I've been stealing, as I've been stealing, stealing of a glimpse or ray: From those two lights which make perpetual, which make perpetual, from those two lights, which make perpetual, perpetual day; From those two lights, which make perpetual, perpetual day: See, fair one, see, see, see, see, fair one, see; see, fair one, see, see, see, see, fair one, see, I'm looking now, I'm looking now another way; You may be kind, you may be kind, and if I must not, if I must not see, I can be blind, blind for that moment you the favour, you the favour show, Then see again, see, see again, to look on only you, then see again, see, see again to look on only you. Come, think no more, no more on this surprise; Come, think no more, no more on this surprise, But let your lover, but let your lover make his court; We've long been at this pretty, pretty, pretty, pretty, pretty glancing sport; Now let our tongues, now let our tongues declare, declare, what this implies; 'Tis time we cease, 'tis time we cease the tattle of our eyes; 'tis time we cease, 'tis time we cease the tattle of our eyes. ",en,1305,0.0427677221596241,0.14579777419567108,0.3225098252296448,0.3633044958114624,0.08341561257839203,0.02430364303290844,0.017900928854942322
164,"O Death, rock me asleep",,Ann Boleyn,,GB-Lbl:British Library,Add. MS 17492,,1610,,Sarge Gerbode,Sarge Gerbode,,,,,"O Death, rock me asleep",,lute song,Dm,3.0,"8-course, alto",score,,,,https://lutemusic.org/composers/Boleyn/o_death_rock_me_asleep.ft3,https://lutemusic.org/composers/Boleyn/pdf/o_death_rock_me_asleep.pdf,https://lutemusic.org/composers/Boleyn/midi/o_death_rock_me_asleep.mid,1573937408,1586042063,Ann Boleyn,1501.0,Kent,England,1536.0,London,England,England,"O Death, O Death, rock me asleep, Bring me to quiet rest; Let pass my weary guiltless ghost Out of my careful breast. Toll on, thou passing bell; Ring out my doleful knell; Let thy sound my death tell, Let thy sound my death tell, For I must die; There is no remedy, For now I die, for now I die, I die, I die, I die, I die, I die. ",en,332,0.46532607078552246,0.4108090400695801,0.038260456174612045,0.05790781229734421,0.02119862474501133,0.003197300247848034,0.003300794865936041
278,12. Wand'ring in this place,,Michael Cavendish,,Michael Cavendish,14 Ayres in tablatorie,,1598,#12,Sarge Gerbode,Sarge Gerbode,,,,,Wandring in this place,,lute song,Gm,3.0,"6-course, soprano",score,,,,https://lutemusic.org/composers/Cavendish/songs/12_wandring_in_this_place/wandring_in_this_place.ft3,https://lutemusic.org/composers/Cavendish/songs/12_wandring_in_this_place/pdf/wandring_in_this_place.pdf,https://lutemusic.org/composers/Cavendish/songs/12_wandring_in_this_place/midi/wandring_in_this_place.mid,1573937412,1586042065,Michael Cavendish,1565.0,,England,1628.0,London,,England,"Wand'ring in this place as in a wilderness, as in a wilder ness, as in a wilderness, No comfort have I, nor yet assurance, wandring in this place as in a wilderness, as in a wilderness, as in a wilderness, no comfort have I, nor yet assurance, Desolate of joy, desolate of joy, desolate of joy, desolate of joy, replete with sadness: Wherefore I may say, O deus, deus, non est dolor, sicut dolor meus, non est dolor, sicut dolor, non est dolor, sicut dolor meus. ",en,463,0.9615762829780579,0.005389626603573561,0.0022852967958897352,0.017618896439671516,0.004541974049061537,0.007373349275439978,0.0012145624496042728
281,13. Every bush new springing,,Michael Cavendish,,Michael Cavendish,14 Ayres in tablatorie,,1598,#13,Sarge Gerbode,Sarge Gerbode,,,,,Every bush new springing,,lute song,CM,2.0,"6-course, alto",score,,,,https://lutemusic.org/composers/Cavendish/songs/13_every_bush_new_springing/every_bush_new_springing.ft3,https://lutemusic.org/composers/Cavendish/songs/13_every_bush_new_springing/pdf/every_bush_new_springing.pdf,https://lutemusic.org/composers/Cavendish/songs/13_every_bush_new_springing/midi/every_bush_new_springing.mid,1573937412,1586042065,Michael Cavendish,1565.0,,England,1628.0,London,,England,"Every bush new springing: Every bird now singing, Merrily sat poor Nico Chanting tro li lo Lo li lo li lo, Every bush new springing: Every bird now singing, Merrily sat poor Nico Chanting tro li lo Lo li lo li lo, till her he had espied, On whom his hope relied, Down a down a down, Down with a frown Oh she pull'd him down, Down a down, down a down, down, down, Til her he had espied, On whom his hope relied, Down a down a down, Down with a frown Oh she pull'd him down, Down a down, down a down, down, down. ",en,511,0.026291023939847946,0.01088547334074974,0.8732477426528931,0.03357229009270668,0.0513998419046402,0.001989539247006178,0.0026141274720430374
