,Number_of_Pitches,Number_of_Pitch_Classes,Range,Importance_of_Bass_Register,Importance_of_Middle_Register,Importance_of_High_Register,Mean_Pitch,Mean_Pitch_Class,Pitch_Variability,Pitch_Class_Variability,Pitch_Skewness,Pitch_Class_Skewness,Average_Number_of_Simultaneous_Pitch_Classes,Variability_of_Number_of_Simultaneous_Pitch_Classes,Average_Number_of_Simultaneous_Pitches,Variability_of_Number_of_Simultaneous_Pitches,Most_Common_Vertical_Interval,Vertical_Minor_Seconds,Vertical_Thirds,Vertical_Tritones,Vertical_Perfect_Fourths,Vertical_Perfect_Fifths,Vertical_Sixths,Vertical_Sevenths,Vertical_Octaves,Perfect_Vertical_Intervals,Vertical_Dissonance_Ratio,Vertical_Minor_Third_Prevalence,Vertical_Major_Third_Prevalence,Chord_Duration,Standard_Triads,Diminished_and_Augmented_Triads,Non-Standard_Chords,Initial_Time_Signature_0,Initial_Time_Signature_1,Metrical_Diversity,Total_Number_of_Notes,Note_Density_per_Quarter_Note,Range_of_Rhythmic_Values,Number_of_Different_Rhythmic_Values_Present,Prevalence_of_Very_Short_Rhythmic_Values,Prevalence_of_Short_Rhythmic_Values,Prevalence_of_Medium_Rhythmic_Values,Prevalence_of_Long_Rhythmic_Values,Prevalence_of_Very_Long_Rhythmic_Values,Prevalence_of_Dotted_Notes,Mean_Rhythmic_Value,Number_of_Pitched_Instruments
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10633.mid",22.0, 8.0, 33.0, 0.1378, 0.8539, 0.008351, 60.0, 5.288, 6.429, 3.807, 0.3985, 0.2271, 2.259, 0.5963, 2.537, 0.6907, 4.0, 0.005911, 0.334, 0.01379, 0.0867, 0.1724, 0.1675, 0.06305, 0.1281, 0.3872, 0.1253, 0.3254, 0.3103, 0.826, 0.2083, 0.0162, 0.1273, 2.0, 2.0, 1.0, 479.0, 2.065, 7.0, 7.0, 0.0, 0.2443, 0.9499, 0.2317, 0.01253, 0.1023, 1.245, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10634.mid",21.0, 9.0, 31.0, 0.1873, 0.7968, 0.01583, 60.0, 5.148, 6.539, 3.381, -0.4503, -0.7561, 2.774, 0.4911, 3.296, 0.759, 7.0, 9.005E-4, 0.3296, 0.01621, 0.1099, 0.2436, 0.1297, 0.02521, 0.1315, 0.4867, 0.05712, 0.6342, 0.5496, 0.9289, 0.5818, 0.04833, 0.171, 2.0, 2.0, 1.0, 379.0, 2.787, 7.0, 8.0, 0.01583, 0.19, 0.9604, 0.2269, 0.0, 0.04749, 1.185, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10635.mid",20.0, 8.0, 29.0, 0.2202, 0.7798, 0.0, 59.0, 5.054, 7.208, 3.637, -0.3939, 0.04419, 2.273, 0.5979, 2.642, 0.7169, 7.0, 0.0, 0.3115, 0.007026, 0.09836, 0.2576, 0.1335, 0.02108, 0.1546, 0.5105, 0.04657, 0.2841, 0.3636, 0.8863, 0.3148, 0.01235, 0.0679, 2.0, 2.0, 1.0, 168.0, 1.909, 6.0, 6.0, 0.0, 0.2976, 0.9107, 0.3631, 0.0, 0.04167, 1.387, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10636.mid",25.0, 10.0, 33.0, 0.2752, 0.7049, 0.01988, 58.0, 5.746, 8.093, 3.708, -0.07708, -1.014, 2.219, 0.6329, 2.604, 0.8699, 7.0, 0.004491, 0.3057, 0.01059, 0.09432, 0.1999, 0.1408, 0.03722, 0.1707, 0.4649, 0.09715, 0.2737, 0.3331, 0.7835, 0.2133, 0.0158, 0.115, 2.0, 2.0, 1.0, 654.0, 2.07, 9.0, 9.0, 0.01835, 0.3196, 0.893, 0.2462, 0.01376, 0.09633, 1.272, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10637.mid",27.0, 11.0, 31.0, 0.2158, 0.7824, 0.001799, 59.0, 5.088, 6.424, 3.602, -0.4057, 0.07339, 2.584, 0.6941, 2.978, 0.9011, 7.0, 0.005996, 0.3314, 0.02199, 0.1003, 0.2022, 0.1466, 0.0483, 0.1203, 0.4227, 0.1102, 0.4922, 0.3594, 0.7342, 0.3976, 0.05269, 0.2419, 2.0, 2.0, 1.0, 556.0, 2.482, 8.0, 8.0, 0.01439, 0.3417, 0.9083, 0.2212, 0.007194, 0.1187, 1.201, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10638.mid",27.0, 11.0, 32.0, 0.1695, 0.806, 0.02458, 60.0, 5.162, 7.071, 3.408, -0.4566, 0.1423, 2.541, 0.6138, 3.092, 0.9092, 7.0, 0.004735, 0.2706, 0.005682, 0.1229, 0.2443, 0.1075, 0.03172, 0.1688, 0.5388, 0.09063, 0.4523, 0.3663, 0.7593, 0.3658, 0.009009, 0.1991, 2.0, 2.0, 1.0, 773.0, 2.684, 8.0, 8.0, 0.02846, 0.3299, 0.9301, 0.229, 0.006468, 0.08926, 1.165, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10639.mid",20.0, 8.0, 29.0, 0.2534, 0.7466, 0.0, 59.0, 4.675, 7.124, 3.477, -0.3851, -0.2807, 2.131, 0.6565, 2.463, 0.7562, 4.0, 0.002899, 0.3507, 0.007246, 0.06377, 0.2232, 0.0913, 0.04783, 0.171, 0.4638, 0.104, 0.2439, 0.372, 0.8651, 0.2036, 0.01429, 0.1071, 2.0, 2.0, 1.0, 292.0, 1.78, 7.0, 7.0, 0.0, 0.339, 0.8904, 0.3253, 0.003425, 0.07877, 1.399, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10640.mid",21.0, 8.0, 31.0, 0.2702, 0.7182, 0.01155, 59.0, 5.815, 7.957, 3.612, 0.02003, -0.9841, 2.106, 0.6544, 2.56, 0.8219, 0.0, 0.002671, 0.3295, 0.005343, 0.06144, 0.1656, 0.1354, 0.04452, 0.2253, 0.4541, 0.08818, 0.2938, 0.3625, 0.9933, 0.2173, 0.01481, 0.07654, 2.0, 2.0, 1.0, 433.0, 1.804, 8.0, 8.0, 0.0, 0.1848, 0.8915, 0.2864, 0.0254, 0.1293, 1.43, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10641.mid",20.0, 9.0, 29.0, 0.1712, 0.8288, 0.0, 60.0, 5.586, 7.147, 3.66, -0.3636, -1.159, 2.493, 0.6801, 2.92, 0.9252, 7.0, 0.003796, 0.2847, 0.01307, 0.1191, 0.2022, 0.1495, 0.04534, 0.1451, 0.4665, 0.1103, 0.3501, 0.4251, 0.8166, 0.3725, 0.01594, 0.1594, 2.0, 2.0, 2.0, 777.0, 2.117, 9.0, 9.0, 0.02188, 0.2896, 0.8559, 0.2741, 0.02188, 0.1377, 1.395, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10642.mid",20.0, 8.0, 29.0, 0.303, 0.697, 0.0, 58.0, 5.354, 7.397, 3.471, 0.2913, 0.3058, 2.298, 0.6164, 2.842, 0.8732, 7.0, 0.003475, 0.3586, 0.01112, 0.09034, 0.1939, 0.1313, 0.01181, 0.1869, 0.4712, 0.04049, 0.4021, 0.4375, 0.9691, 0.3424, 0.01814, 0.06349, 2.0, 2.0, 1.0, 472.0, 1.967, 7.0, 7.0, 0.0, 0.1568, 0.947, 0.4174, 0.002119, 0.05932, 1.449, 1.0
