index,Range
0,0
1,0
2,34
3,34
4,34
5,34
6,33
7,36
8,32
9,31
10,39
11,36
12,32
13,36
14,36
15,36
16,33
17,31
18,26
19,14
20,17
21,17
22,33
23,31
24,19
25,21
26,22
27,31
28,27
29,31
30,36
31,41
32,34
33,46
34,27
35,27
36,29
37,29
38,36
39,34
40,36
41,34
42,34
43,34
44,31
45,31
46,39
47,34
48,36
49,36
50,33
51,24
52,20
53,31
54,31
55,26
56,26
57,27
58,43
59,30
60,33
61,41
62,43
63,41
64,41
65,36
66,41
67,31
68,32
69,27
70,41
71,39
72,36
73,33
74,36
75,41
76,37
77,39
78,37
79,36
80,36
81,38
82,39
83,39
84,38
85,36
86,39
87,34
88,41
89,41
90,36
91,29
92,32
93,36
94,31
95,33
96,34
97,34
98,26
99,32
100,31
101,34
102,36
103,38
104,28
105,39
106,39
107,39
108,38
109,42
110,38
111,41
112,41
113,41
114,41
115,34
116,34
117,41
118,34
119,34
120,28
121,33
122,26
123,36
124,26
125,41
126,34
127,33
128,35
129,34
130,34
131,32
132,31
133,31
134,24
135,22
136,20
137,24
138,22
139,26
140,23
141,26
142,47
143,43
144,45
145,47
146,24
147,41
148,37
149,41
150,41
151,34
152,31
153,33
154,28
155,41
156,34
157,24
158,31
159,24
160,36
161,31
162,24
163,24
164,36
165,36
166,36
167,31
168,29
169,34
170,31
171,27
172,31
173,33
174,31
175,33
176,33
177,31
178,33
179,31
180,29
181,36
182,31
183,36
184,31
185,29
186,31
187,26
188,19
189,40
190,43
191,41
192,34
193,36
194,26
195,24
196,26
197,37
198,29
199,32
200,32
201,32
202,37
203,43
204,43
205,31
206,46
207,39
208,38
209,20
210,38
211,37
212,38
213,38
214,38
215,38
216,38
217,34
218,43
219,43
220,31
221,31
222,41
223,17
224,48
225,36
226,29
227,40
228,31
229,27
230,29
231,32
232,31
233,31
234,36
235,36
236,25
237,29
238,25
239,29
240,24
241,29
242,24
243,29
244,27
245,22
246,27
247,22
248,27
249,31
250,22
251,26
252,25
253,22
254,34
255,29
256,26
257,29
258,27
259,27
260,29
261,26
262,26
263,26
264,27
265,29
266,31
267,26
268,24
269,29
270,47
271,23
272,40
273,38
274,33
275,46
276,39
277,46
278,39
279,34
280,34
281,29
282,31
283,34
284,31
285,34
286,24
287,22
288,19
289,22
290,34
291,38
292,29
293,34
294,39
295,36
296,26
297,36
298,36
299,26
300,36
301,36
302,26
303,36
304,41
305,26
306,36
307,37
308,26
309,32
310,34
311,24
312,32
313,34
314,27
315,34
316,34
317,24
318,34
319,38
320,22
321,36
322,40
323,25
324,36
325,34
326,26
327,33
328,34
329,21
330,33
331,36
332,22
333,34
334,36
335,26
336,36
337,36
338,24
339,36
340,38
341,27
342,36
343,36
344,29
345,36
346,36
347,28
348,20
349,20
350,22
351,49
352,34
353,17
354,29
355,24
356,17
357,24
358,41
359,32
360,29
361,24
362,17
363,33
364,31
365,34
366,34
367,48
368,41
369,52
370,40
371,50
372,40
373,48
374,38
375,48
376,41
377,48
378,41
379,52
380,40
381,50
382,40
383,48
384,38
385,48
386,41
387,48
388,43
389,46
390,39
391,43
392,43
393,50
394,43
395,48
396,43
397,50
398,41
399,31
400,36
401,29
402,33
403,36
404,31
405,29
406,36
407,36
408,31
409,31
410,37
411,32
412,36
413,33
414,38
415,32
416,31
417,36
418,33
419,29
420,32
421,31
422,36
423,31
424,31
425,32
426,31
427,31
428,27
429,36
430,29
431,36
432,33
433,34
434,36
435,31
436,31
437,34
438,32
439,29
440,34
441,34
442,33
443,36
444,32
445,32
446,36
447,32
448,36
449,32
450,36
451,32
452,34
453,36
454,36
455,36
456,36
457,33
458,34
459,27
460,33
461,33
462,36
463,32
464,38
465,34
466,38
467,36
468,36
469,36
470,36
471,39
472,37
473,38
474,40
475,39
476,39
477,41
478,37
479,39
480,34
481,36
482,33
483,36
484,33
485,38
486,33
487,31
488,36
489,36
490,36
491,36
492,37
493,37
494,37
495,34
496,36
497,39
498,34
499,33
500,36
501,39
502,39
503,38
504,36
505,33
506,37
507,31
508,38
509,39
510,39
511,39
512,38
513,31
514,31
515,36
516,38
517,31
518,31
519,39
520,31
521,37
522,37
523,34
524,36
525,37
526,32
527,43
528,31
529,31
530,36
531,36
532,31
