,Title,Subtitle,Composer,Orig. composer,Source,Document,Volume,Date,Page,Editor,Encoder,Arranger,Intabulator,Contributor,Concordances,Piece,Section,Type,Key,Difficulty,Ensemble,Part,Remarks,Recording,Facsimile,Fronimo,PDF,Midi,Created,Modified,song_text,text_length
2,Go from my Window,,Anonymous,,Unknown,Source unknown,,1610,%12,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,Go from my Window,,lute song,FM,1.0,"alto, 6-course","alto, 6-course",,,,https://lutemusic.org/composers/Anon/songs/go_from_my_window/go_from_my_window.ft3,https://lutemusic.org/composers/Anon/songs/go_from_my_window/pdf/go_from_my_window.pdf,https://lutemusic.org/composers/Anon/songs/go_from_my_window/midi/go_from_my_window.mid,1573937406,1586042061,"ute part from thysius ms. ome up to my window, love, come come come ome to my window, my dear. he wind nor the rain shall trouble thee again; hou shalt be lodged here. egone my love, my dear he weather is warm, 'twill do you no harm. hou canst not be lodged here. uho is at my windo, quho, qhuo? uho callis thair, sa lyke a stranger ord i am heir, ane wretchit mortal, hat for thy mercy dois cry and call nto the, my lord celestial e quho is at my window, quho.",461
4,Greensleeves,,Anonymous,,Unknown,Traditional 16th Century popular song,,1550,%1,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,Greensleeves,,lute song,Em,3.0,"alto, 8-course",score,,,,https://lutemusic.org/composers/Anon/songs/greensleeves/greensleeves_Em.ft3,https://lutemusic.org/composers/Anon/songs/greensleeves/pdf/greensleeves_Em.pdf,https://lutemusic.org/composers/Anon/songs/greensleeves/midi/greensleeves_Em.mid,1573937406,1586042061,"alas, my love, you do me wrong, to cast me off discourteously, when i have loved you so long, delightting in your company. greensleeves was my heart of gold, and who but my lady, greensleeves.",192
6,A caroll for New-yeare's day,To the tune of Greensleeves,Anonymous,,"GB-Ob:Bodleian Library, Oxford",Wood #3: New Christmas Carols,,1642,,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,A caroll for New-yeare's day,,lute song,Em,3.0,"alto, 8-course",score,,,,https://lutemusic.org/composers/Anon/songs/greensleeves/greensleeves_year_end_Em.ft3,https://lutemusic.org/composers/Anon/songs/greensleeves/pdf/greensleeves_year_end_Em.pdf,https://lutemusic.org/composers/Anon/songs/greensleeves/midi/greensleeves_year_end_Em.mid,1573937406,1586042061,"the old year now away is fled, the new year, it is entered: then let us now our sins downtread and joyfully all appear: let's merry be this day, and let us now both sport and play: hang grief, cast care away! god send you a happy new year! major chord nd time. the nameday now of christ we keep, who for our sins did often weep; his hands and feet were wounded deep, and his blessed side with a spear; his head they crown'd with thorn, and at him they did laugh and scorn, who for our good was born: god send us a happy new year! and now with new year's gifts each friend unto each other they do send: god grant we may all our lives amend and that the truth may appear. now, like the snake, your skin cast off, of evil thoughts and sin, and so the year begin: god send us a happy new year!",789
9,"The pretty, sweet Jinny",,Anonymous,,Unknown,Source unknown,,1600,%11,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,"The pretty, sweet Jinny",,lute song,CM,1.0,"tenor, 8-course",score,,,,https://lutemusic.org/composers/Anon/songs/pretty_sweet_jinny/pretty_sweet_jinny_VT.ft3,https://lutemusic.org/composers/Anon/songs/pretty_sweet_jinny/pdf/pretty_sweet_jinny_VT.pdf,https://lutemusic.org/composers/Anon/songs/pretty_sweet_jinny/midi/pretty_sweet_jinny_VT.mid,1573937406,1586042061,"the pretty sweet jinny, she sat on the hill where johnny the swain her see. he tun'd his quill and he sang to her still: whoop!",127
11,Robin is to the green wood gone,,Anonymous,,Unknown,Source unknown,,1600,%77,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,Robin is to the green wood gone,,lute song,Cm,2.0,"tenor, 6-course",score,,,,https://lutemusic.org/composers/Anon/songs/robin_is_to_the_green_wood_gone/robin_is_to_the_green_wood_gone_VT.ft3,https://lutemusic.org/composers/Anon/songs/robin_is_to_the_green_wood_gone/pdf/robin_is_to_the_green_wood_gone_VT.pdf,https://lutemusic.org/composers/Anon/songs/robin_is_to_the_green_wood_gone/midi/robin_is_to_the_green_wood_gone_VT.mid,1573937406,1590339200,"robin is to the green wood gone, leaving me here to sigh, all alone. yes, i'm resolv'd to have no other boy for bonny, sweet robin is all my joy.",145
12,And let me the canakin clink,,Anonymous,,William Shakespeare,Othello,,1605,,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,And let me the canakin clink,,lute song,FM,2.0,"tenor, 7-course","tenor, 7-course",,,,https://lutemusic.org/composers/Anon/songs/shakespeare/and_let_me_the_cannakin_clink/and_let_me_the_cannakin_clink.ft3,https://lutemusic.org/composers/Anon/songs/shakespeare/and_let_me_the_cannakin_clink/pdf/and_let_me_the_cannakin_clink.pdf,https://lutemusic.org/composers/Anon/songs/shakespeare/and_let_me_the_cannakin_clink/midi/and_let_me_the_cannakin_clink.mid,1573937406,1586042061,"and let me the canakin clink, clink, clink, and let me the canakin clink! a soldier's a man, a life's but a span. why then let a soldier drink! why then let a soldier drink!",173
14,Three Merry Men,,Anonymous,,William Shakespeare,Twelfth Night II-3,,1623,,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,Three Merry Men,,lute song,GM,2.0,"alto, 8-course",score,,,,https://lutemusic.org/composers/Anon/songs/shakespeare/three_merry_men/three_merry_men.ft3,https://lutemusic.org/composers/Anon/songs/shakespeare/three_merry_men/pdf/three_merry_men.pdf,https://lutemusic.org/composers/Anon/songs/shakespeare/three_merry_men/midi/three_merry_men.mid,1573937406,1586042061,hree times through -loud soft loud three merry men are we. jack sleeps in the tree. three merry men and three merry men and i in the wood and thou on the ground and,164
17,When that I was and a little tiny boy,,Anonymous,,William Shakespeare,Twelfth Night V-1,,1623,,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,When that I was and a little tiny boy,,lute song,Dm,3.0,"tenor, 8-course",score,,,,https://lutemusic.org/composers/Anon/songs/shakespeare/tiny_boy/tiny_boy_Dm.ft3,https://lutemusic.org/composers/Anon/songs/shakespeare/tiny_boy/pdf/tiny_boy_Dm.pdf,https://lutemusic.org/composers/Anon/songs/shakespeare/tiny_boy/midi/tiny_boy_Dm.mid,1573937406,1586042061,"when that i was anda little tiny boy, hey, ho, the wind and the rain, by tosspots still had drunken heads, for the rain, it raineth ev'ry day, but when i came to man's estate, with that's all one, our play is done, and we'll strive to please you ev'ry day, but when i came, alas! to wive, with a foolish thing was but a toy, for the rain, it raineth ev'ry day, hey, ho, the wind and the rain, for the but when i came unto my beds, knaves and thieves men shut their gate, for the rain, it raineth ev'ry day, rain, it raineth ev'ry day. agreat while ago the world begun, swaggering could i never thrive, for the rain, it raineth ev'ry day, with a",644
19,"Blow, blow, thou winter wind",,Thomas Arne,,William Shakespeare,As you like it II-7,,1740,,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,,,lute song,BbM,3.0,"7-course, soprano 2:soprano, soprano 1:soprano",score,,,,https://lutemusic.org/composers/Arne/blow_blow_thou_winter_wind/blow_blow_thou_winter_wind_S.ft3,https://lutemusic.org/composers/Arne/blow_blow_thou_winter_wind/pdf/blow_blow_thou_winter_wind_S.pdf,https://lutemusic.org/composers/Arne/blow_blow_thou_winter_wind/midi/blow_blow_thou_winter_wind_S.mid,1573937406,1586042061,"blow, blow, thou winter wind, thou art not so unkind, thou art not so unkind as man's ingratitude. thy tooth is not so keen because thou art not seen, thy tooth is not so keen because thou art not sharp, thy seen, although thy breath be rude, although thy breath be rude, although thy breath be rude. freeze freeze, thou bitter sky, thou dost not bite dost not bite so nigh as benefits forgot. thoughthou the waters warp, sting is not so as friend rememnot, thy sting is not so sharp as friend remember'd not, as",512
25,When daisies pied,,Thomas Arne,,William Shakespeare,Love's Labor's lost V-2,,1747,,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,When daisies pied,,lute song,GM,5.0,"soprano, 8-course",score,,,,https://lutemusic.org/composers/Arne/when_daisies_pied/when_daisies_pied_VT.ft3,https://lutemusic.org/composers/Arne/when_daisies_pied/pdf/when_daisies_pied_VT.pdf,https://lutemusic.org/composers/Arne/when_daisies_pied/midi/when_daisies_pied_VT.mid,1573937406,1586042061,"when daisies pied, and violets blue, and lady smocks all silver white, and cuckoo buds of yellow hue, do paint the meadows with delight: the cuckoo then, on wh o word of fear, o word of fear, unpleasing to a when shepherds pipe on oaten straws, and merry larks are ploughmans' clocks, and turtles tread and rooks and daws, and maidens bleach their summer smocks: thus sings he: cuckoo, cuckoo, cuckoo, cuckoo, cuckoo! married ear, unpleasing to a married ear. when ear.",469
