composer,date_of_birth,birth_town,birth_country,date_of_death,death_town,death_country,nationality
Karl Friedrich Abel,1723,Cöthen,Germany,1787,London,England,Germany
Lodovico Agostini,1534,Ferrara,Italy,1590,Ferrara,,Italy
Giovanni Giacopo  Albuzio,,Kleve,Germany,1536,,,Italy
Richard Allison,1565,,England,1610,,England,England
Serafino Aquilano,,,,,,,
Thomas Arne,1710,London,England,1778,London,England,England
Robert Askue,,,,,,,England
John Attey,1590,,England,1640,Ross,,England
Filippo Azzaiolo,1530,Bologna,,1569,Bologna,,Italy
Daniel Bacheler,1572,Aston Clinton,England,1619,Kent,England,England
Valentin Bakfark,1528,Brasov,,1576,Padua,Italy,Hungary
Robert Ballard,1575,Paris,France,1650,Paris,,France
Giulio Cesare Barbetta,1540,Padua,Italy,1603,,,Italy
Ernst Gottlieb Baron,1696,Breslau,Germany,1760,Berlin,,Germany
John Bartlet,1605,,England,1610,,,England
William Basse,,,,,,,
Mr. Beck,,,,,,,
Jacquet de Berchem,1505,Berchem,Belgium,1565,Monopoli,Italy,Belgium
Gilles Binchois,1400,Mons,Belgium,1460,Soignies,Belgium,Belgium
John Blow,1649,Newark-on-Trent,England,1708,London,England,England
Charles Bocquet,,,,1570,,,France
Antoine Boësset,1586,Blois,France,1643,Paris,France,France
Ann Boleyn,1501,Kent,England,1536,London,England,England
Pietro Paulo Borrono,1490,Milano,Italy,1563,Milano,Italy,Italy
Pierre Phalèse,,,,,,,
Johann Georg Braun,1630,Ubthal,Czech Republic,1675,Cheb,Czech Republic,Czech Republic
Brewster,,,,,,,England
Baruch Bulman,,,England,1600,,,England
Antoine Busnois,1430,Busnes,France,1492,Brugge,Belgium,France
Dietrich Buxtehude,1637,Oldesloe,Denmark,1707,Lübeck,Germany,Denmark
William Byrd,1543,London,England,1623,Stondon Massey,England,England
Francis Cutting,1583,London,England,1623,London,,England
Antonio de Cabezón,1510,Castrillo de Matajudios,Spain,1566,Madrid,Spain,Spain
Giulio Caccini,1545,Tivoli,Italy,1618,Firenze,Italy,Italy
Antonio Caldara,1670,Venezia,Italy,1736,Wien,Austria,Italy
Franciscus Bossinensis,,,,,,,Italy
Marchetto Cara,1470,Verona,Italy,1525,Mantova,Italy,Italy
Firmin Caron,,,,,,,
Fabritio Caroso,1527,Sermoneta,Italy,1605,,,Italy
Marco Caroso,,,,,,,
Dario Castello,1590,Venice,Italy,1630,,Italy,Italy
Francesco Cavalli,1602,Crema,Italy,1676,Venezia,Italy,Italy
Michael Cavendish,1565,,England,1628,London,,England
Jehan Chardavoine,1537,Beaufort-en-Anjou,France,1580,Paris,France,France
Johannes Ciconia,1335,Liège,Belgium,1411,Padova,Italy,Belgium
Cipriano de Rore,1515,Ronse,Belgium,1565,Parma,Italy,Belgium
S. Coleman,,,,,,,
John Coprario,1575,,England,1626,London,England,England
Arcangelo Corelli,1653,Fusignano,Italy,1713,Roma,Italy,Italy
William Cornysh,1465,Greenwich,England,1523,Kent,England,England
Guillaume Costeley,1530,Fontanges,,1606,Evreux,,France
François Couperin,1759,,,1826,,,France
Chiara Margarita Cozzolani,1602,Milano,Italy,1678,Milano,Italy,Italy
Thomas Crécquillon,1490,,,1557,,Belgium,Belgium
Giovanni Battista Dalla Gostena,1540,Genoa,Italy,1598,Genoa,,Italy
Johann Friedrich Daube,1730,Marburg,Germany,1797,Wien,Austria,Germany
Constantin Christian Dedekind,,,,,,,
Luc Despond,,,,,,,
Francisco de la Torre,1460,Seville,Spain,1504,,Spain,Spain
Charles de l'Espine,,,,,,,France
Giaches de Wert,1535,Antwerpen,Belgium,1596,Mantua,Italy,Belgium
John Dowland,1563,London,England,1626,London,England,England
Guillaume Dufay,1397,Bersele,Belgium,1474,Cambrai,Belgium,Belgium
John Dunstable,1390,Dunstable,England,1453,London,England,England
Narciso Duran,,,,,,,
Sigismondo d'India,1582,Palermo,Italy,1629,Modena,Italy,Italy
John Eccles,1668,London,England,1735,London,England,England
Pat O'Brian,,,,,,,
Paul O'Dette,,,,,,,
Christopher Simpson,1605,Egton,England,1669,London,England,England
Alfonso Ferrabosco I,1543,Bologna,Italy,1588,Bologna,,Italy
Alfonso Ferrabosco II,1575,Greenwich,England,1628,Greenwich,,England
Sebastian Festa,,,,,,,
Perino Fiorentino,1523,Firenze,Italy,1552,Roma,Italy,Italy
Thomas Ford,1580,,England,1648,London,England,England
Antoine Forqueray,1671,Paris,France,1745,Mantes,France,France
Girolamo Frescobaldi,1583,Ferrara,Italy,1643,Roma,Italy,Italy
Johann Jakob Froberger,1616,Stuttgart,Germany,1667,Héricourt,France,Germany
Jacques de Gallot,1620,,France,1690,Paris,,France
Santino Garsi,1542,Parma,Italy,1604,Parma,,Italy
Hans Gerle,1500,Nuremberg,Germany,1570,Nuremberg,,Germany
Claude Gervaise,1525,Paris,France,1560,Paris,France,France
Carlo Gesualdo,1566,Venosa,Italy,1613,Gesualdo,Italy,Italy
Hayne von Ghizeghem,1445,,,1495,,,Belgium
Orlando Gibbons,1583,Oxford,England,1625,"Canterbury, UK",England,England
Heinrich Gleitsmann,,,,,,,
Christoph Willibald Gluck,1714,Erasbach,Germany,1787,Wien,Austria,Germany
Giacomo Gorzanis,1520,,,1579,Trieste,,Italy
Johann Grabbe,1585,Lemgo,Germany,1655,Buckeburg,Germany,Germany
Thomas Greaves,,,,,,,England
Pierre Guédron,1565,Chateaudun,France,1620,Paris,France,France
Johann Gumprecht,1610,Bad Windsheim,Germany,1697,Strasbourg,France,France
Robert Hales,1583,,England,1616,,,England
Georg Friederich Händel,1685,Halle,Germany,1759,London,England,Germany
Henry Lawes,1595,Dinton,England,1662,London,England,England
Anthony Holborne,1550,,England,1602,London,England,England
Tobias Hume,1569,London,England,1645,London,,England
Gregorius Howet,,,,,,,Belgium
Jacob Meiland,1542,Senftenberg,Germany,1577,Hechingen,Germany,Germany
Jacobus,1455,Antwerpen,Belgium,1491,Antwerpen,,France
Clement Janequin,1485,Châtellerault,France,1558,Paris,France,France
Anonymous,,,,,,,
Robert Jones,1485,,England,1536,,,England
Josquin des Prez,1450,"Condé, Indre",France,1521,Condé-sur-l’Escaut,France,France
Sixt Kargel,1540,,,1594,,,Germany
David Kellner,1670,Leipzig,Germany,1748,Stockholm,Sweden,Germany
Robert Kindersley,,,,1634,,,England
Nicholas Lanier,1588,London,England,1666,Greenwich,England,England
Orlando di Lasso,1532,Mons,Belgium,1594,München,Germany,Belgium
Nicolas Lebègue,,,,,,,
Giovanni Legrenzi,1626,Clusone,Italy,1690,Venezia,Italy,Italy
Claude Le Jeune,1528,Valenciennes,France,1600,Paris,France,France
Giovanni Leoni,1588,Padua,Italy,1652,Rome,,Italy
Carlo Ambrogio Lonati,,,,,,,
Jan Antonín Losy,1650,zámek Štěkeň,Czech Republic,1721,Praha,Czech Republic,
Luigi Rossi,1598,Torremaggiore,Italy,1653,Roma,Italy,Italy
Jean-Baptiste Lully,1665,Florence,Italy,1743,Paris,France,France
Michel Lambert,1610,Champigny sur Veude,France,1696,Paris,France,France
Girolamo Conversi,,,,,,,Italy
Joanambrosio Dalza,,,,,,,
Gary Digman,,,,,,,
Emanuel Adriaenssen,1554,Antwerpen,Belgium,1604,Antwerpen,Belgium,Belgium
Nicolas Gombert,1490,Brugge,Belgium,1556,Doornik,Belgium,Belgium
John Johnson,1540,,England,1594,,,England
William Lawes,1602,"Salisbury, UK",England,1645,Chester,England,England
John Marchant,1588,,England,1611,,,England
Francesco da Milano,1523,Monza,Italy,1552,Milan,,Italy
Simone Molinaro,1565,Genoa,Italy,1615,Genoa,,Italy
Claudio Monteverdi,1567,Cremona,Italy,1643,Venezia,Italy,Italy
Cristóbal de Morales,1500,Sevilla,Spain,1553,Marchena,Spain,Spain
Jacob Obrecht,1458,Gent,Belgium,1505,Ferrara,Italy,Belgium
Alessandro Piccinini,1566,Bologna,Italy,1639,Bologna,,Italy
Francis Pilkington,1562,,,1638,Chester,,England
George Botsford,1874,,,1949,,,
Henry Purcell,1659,Westminster,England,1695,London,England,England
Thomas Robinson,1589,,England,1609,,,England
Francesco Spinacino,1475,Fossombrone,Italy,1507,Venezia,Italy,Italy
Alessandro Striggio,1536,Mantua,Italy,1592,Mantua,Italy,Italy
Jan Pieterszoon Sweelinck,1561,Deventer,Netherlands,1621,Amsterdam,Netherlands,Netherlands
Giovanni Terzi,1580,Bergamo,Italy,1600,,,Italy
Nicolas Vallet,1583,Corbeny,France,1644,Amsterdam,Netherlands,France
Vincenzo Galilei,1520,Santa Maria a Monte,Italy,1591,Florence,,Italy
Thomas Mace,1612,,,1706,,,England
Guillaume de Machaut,1300,Reims,France,1377,Reims,,France
Pierre de Manchicourt,1510,Bethune,,1564,Madrid,Spain,Spain
Marin Marais,1656,Paris,France,1728,Paris,,France
Jacques Mauduit,1557,Paris,France,1627,Paris,,France
Domenico Mazzocchi,1592,Civita Castellana,Italy,1665,Rome,,Italy
David Melvill,1604,,Scotland,1643,,,Scotland
Mercure d'Orléans,,,,,,,France
Elias Mertel,1561,,,1626,,,Germany
René Mesangeau,,,,,,,
Gottfried Meusel,,,,,,,
Charles Edinthon,,,,,,,
Enríquez de Valderrábano,,,,,,,
Albert de Rippe,1500,Mantua,Italy,1551,Paris,France,Italy
Antonio di Becchi,1522,Parma,Italy,1566,,,Italy
Giovanni Maria da Crema,1540,Crema,Italy,1550,,,Italy
Julio Segni,1498,Modena,Italy,1561,Rome,,Italy
Wolff Heckel,,,,,,,Germany
Joanne Matelart,1538,,,1607,Rome,Italy,Italy
Paulo Galvão,,,,,,,
Sigmar Salzburg,,,,,,,
Laudon Schuett,,,,,,,
Michel de Montéclair,,,,,,,
Guillaume Morlaye,1515,,,1560,,,France
Thomas Morley,1557,Norwich,England,1602,London,England,England
Robert Morton,1430,,,1479,,England,England
Etienne Moulini,1599,,,1676,,,France
Christian G. Scheidler,1752,,Germany,1815,Frankfurt,,Germany
Diego Ortiz,1510,Toledo,Spain,1570,Napoli,Italy,Spain
Francisco Paez,,,,,,,Spain
Pierre Passereau,1490,Paris,France,1547,,,France
Mogens Pedersøn,1585,,,1623,,,Denmark
Jacopo Peri,1561,Roma,Italy,1633,Firenze,Italy,Italy
Peter Philips,1561,London,England,1628,Brussel,Belgium,England
Marcantonio del Pifaro,,,,,,,
Diego Pisador,1510,Salamanca,Spain,1557,Salamanca,Spain,Spain
Bob Telson,,,,,,,
John Lennon and Paul McCartney,1940,Liverpool,England,1980,United States,,England
